file,optimum,tat_cost,tat_time,tat_mem,tat/opt_ratio,christ_cost,christ_time,christ_mem,christ/opt_ratio,bnb_cost,bnb_time,bnb_mem,bnb/opt_ratio
d1291,50801,74658.29731,4.581877947,325584.9805,1.4696,57997.40356,22.65194821,325585.2773,1.1417,NA,NA,NA,NA
rl1304,252948,347782.5703,4.962929964,332546.6445,1.3749,280824.8427,22.77898812,332546.0352,1.1102,NA,NA,NA,NA
rl1323,270199,380421.5876,5.007185221,341280.7305,1.4079,301003.4589,23.26288986,341281.0273,1.114,NA,NA,NA,NA
nrw1379,56638,79156.26507,5.49861908,418823.2227,1.3976,64641.87972,310.4406788,418823.5195,1.1413,NA,NA,NA,NA
fl1400,20127,27915.52348,5.574913979,429912.5664,1.387,22828.8296,288.2477729,429912.8633,1.1342,NA,NA,NA,NA
u1432,152970,214430.7805,5.765496016,447212.2852,1.4018,172355.9945,91.31684589,447071.1914,1.1267,NA,NA,NA,NA
fl1577,22249,31223.09667,6.815891027,531124.9727,1.4033,24573.52852,58.06174111,531265.7539,1.1045,NA,NA,NA,NA
d1655,62128,85681.07842,7.83594799,579611.832,1.3791,70835.64841,115.562202,579612.1289,1.1402,NA,NA,NA,NA
vm1748,336556,444658.6319,9.107143879,639710.9258,1.3212,379674.5729,172.4559751,639711.2227,1.1281,NA,NA,NA,NA
u1817,57201,83501.55577,9.769303083,685044.207,1.4598,66832.96594,132.1699638,685044.5039,1.1684,NA,NA,NA,NA
rl1889,316536,449811.4882,11.61416698,735668.3477,1.421,346928.444,70.74978709,735668.6445,1.096,NA,NA,NA,NA
d2103,80450,124533.8716,13.17249513,895210.707,1.548,84509.32914,16.63635898,895211.0039,1.0505,NA,NA,NA,NA
u2152,64253,95076.21583,14.53773594,932949.957,1.4797,74400.08365,191.5840771,932950.2539,1.1579,NA,NA,NA,NA
u2319,234256,320532.841,17.61318803,1069827.238,1.3683,272024.8262,738.7754338,1069827.535,1.1612,NA,NA,NA,NA
pr2392,378032,523132.9069,18.42902422,1134181.91,1.3838,428445.1292,679.2560239,1134182.207,1.1334,NA,NA,NA,NA
pcb3038,137694,196573.8992,30.14813495,1989655.488,1.4276,155294.0591,1460.5423,1989655.785,1.1278,NA,NA,NA,NA
fl3795,28772,NA,NA,NA,NA,31563.15541,1394.288095,2970355.23,1.097,NA,NA,NA,NA
fnl4461,182566,254671.6275,182.4892581,3994348.949,1.395,NA,NA,NA,NA,NA,NA,NA,NA
rl5915,565530,840348.3558,734.4058356,7583729.973,1.4859,620359.8462,1315.266221,7583730.27,1.097,NA,NA,NA,NA
rl5934,556045,827482.336,691.7196009,7626153.223,1.4882,611131.1902,1509.895182,7626153.52,1.0991,NA,NA,NA,NA
